,no_tasks,no_households,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,50,1,piece-wise,72407,71950.0,0.60%,3.24,3.22,0.60%,16233277.5,15031394.0,7.40%,16233277.5,15031100.0,7.40%,0.051
heuristic_fw,5,50,1,piece-wise,72407,46433.23193077798,35.90%,3.24,2.08,35.80%,16233277.5,15042702.986,7.30%,16233277.5,15042554.32,7.30%,0.003
