,0,1,2
cost,16233277.5,15031100.0,15031100.0
PAR,3.24,2.37,3.22
step_size,1.0,0.518,0.0
total_demand,1073650.0,1073650.0,1073650.0
max_demand,72407.0,52965.0,71950.0
inconvenient,0.0,287.0,294.0
objective,16233277.5,15031387.0,15031394.0
run_time,0.0,0.05000000000000004,0.05100000000000003
