,max_demand,total_demand,PAR,objective,cost,inconvenient,step_size,reschedule_time
0,446130.0,15867168.0,0.74,658594488.5,658594488.5,0.0,1.0,0.0
1,426394.4803346971,15867168.000000002,0.78,476110906.51,475500058.51,610848.0,0.045,
2,411648.04910501436,15867168.0,0.8,396120181.96,395795359.14,324822.82,0.035,
3,398219.85480896465,15867168.0,0.83,362258292.34694004,361842407.3,415885.04694000003,0.033,
4,393845.48640606605,15867167.999999996,0.84,347863561.3444837,347753434.68,110126.66448365999,0.011,
5,389518.79605559935,15867168.000000002,0.85,337782135.1966907,337693117.99,89017.20669067974,0.011,
6,380240.3841951009,15867168.0,0.87,325768179.84703946,325621902.66,146277.1870394237,0.024,
7,376069.0039689548,15867168.0,0.88,321203042.35094255,321135483.4,67558.95094256634,0.011,
8,371947.1499252963,15867168.000000004,0.89,318938914.64153963,318893121.19,45793.45153963177,0.011,
9,367870.63627611805,15867168.0,0.9,313568528.52203304,313523334.95,45193.57203306405,0.011,
10,363855.83827708074,15867167.999999996,0.91,314146360.53070766,314096647.06,49713.47070763629,0.011,
11,363855.83827708074,15867167.999999996,0.91,314146360.53070766,314096647.06,49713.47070763629,0.0,
12,363855.83827708074,15867167.999999996,0.91,314146360.53070766,314096647.06,49713.47070763629,0.0,
