,max_demand,total_demand,PAR,objective,cost,inconvenient,step_size,reschedule_time
0,446130.0,15867168.0,0.74,658594488.5,658594488.5,0.0,1.0,0.0
1,426825.9565293678,15867167.999999996,0.77,484631254.54,484033980.94,597273.6,0.044,
2,412481.54899068014,15867168.0,0.8,396200894.2576,395884890.56,316003.6976,0.034,
3,407946.71595178265,15867168.0,0.81,391637025.64932644,391498300.29,138725.3593264,0.011,
4,399026.1506494736,15867168.000000004,0.83,359536694.89209485,359310344.05,226350.84209481918,0.022,
5,394244.4368416799,15867168.000000004,0.84,346379169.12989485,346283454.14,95714.98989486217,0.012,
6,389519.62359957973,15867168.000000002,0.85,334208181.78012127,334135123.56,73058.22012126165,0.012,
7,385241.51873998437,15867168.000000006,0.86,331621141.2795787,331552776.92,68364.35957866612,0.011,
8,376825.96883047227,15867168.0,0.88,319772586.55408925,319681017.37,91569.18408926934,0.022,
9,372694.53417333704,15867168.000000004,0.89,320645721.728975,320601031.69,44690.03897501803,0.011,
10,368610.98729743034,15867167.999999998,0.9,313698092.77957124,313648373.77,49719.0095712748,0.011,
11,364583.3374371586,15867168.000000002,0.91,312504488.2308947,312459480.84,45007.39089471597,0.011,
12,364583.3374371586,15867168.000000002,0.91,312504488.2308947,312459480.84,45007.39089471597,0.0,
