,max_demand,total_demand,PAR,objective,cost,inconvenient,step_size,reschedule_time
0,491938.0,16225419.0,0.69,474647656.8,474647656.8,0.0,1.0,0.0
1,475883.335534424,16225418.999999998,0.71,406107956.66999996,405798522.27,309434.4,0.033,
2,449826.83175359,16225419.0,0.75,334770695.6236,334255077.55,515618.07359999995,0.055999999999999994,
3,439987.8272556533,16225418.999999998,0.77,309618360.1023808,309406872.3,211487.80238079999,0.022,
4,423920.25821458607,16225419.000000002,0.8,295724257.27131194,295375269.12,348988.1513119104,0.037000000000000005,
5,414236.1802737349,16225419.000000002,0.82,282982453.5225198,282791238.15,191215.37251982605,0.023,
6,408859.63793017634,16225418.999999998,0.83,281189541.7101572,281087156.51,102385.20015724225,0.013,
7,404369.3979129444,16225418.999999998,0.84,277006932.1027983,276932447.64,74484.46279827034,0.011,
8,399934.798535902,16225419.0,0.85,276347891.58090925,276279347.11,68544.47090921902,0.011,
9,395548.97975200706,16225419.000000004,0.85,272721818.72082,272653208.91,68609.81081999859,0.011,
10,395548.97975200706,16225419.000000004,0.85,272721818.72082,272653208.91,68609.81081999859,0.0,
