,max_demand,total_demand,PAR,objective,cost,inconvenient,step_size,reschedule_time
0,491938.0,16225419.0,0.69,474647656.8,474647656.8,0.0,1.0,0.0
1,475402.20172700804,16225419.000000002,0.71,406560146.15999997,406241334.96,318811.2,0.034,
2,448917.7272753625,16225418.999999998,0.75,334636898.3916,334112607.33,524291.0616,0.056999999999999995,
3,433831.61404645315,16225418.999999998,0.78,309386861.74390554,309060311.84,326549.9039056,0.034,
4,424347.0978697308,16225419.000000002,0.8,297419217.50211406,297214242.4,204975.10211407678,0.022,
5,415072.5001124389,16225418.999999998,0.81,284337926.7577535,284151856.81,186069.94775349027,0.022,
6,401546.6372099076,16225419.000000006,0.84,275836989.05172414,275576918.36,260070.69172413484,0.033,
7,396742.7655633887,16225418.999999998,0.85,271866951.4616993,271787587.91,79363.55169931038,0.012,
8,396742.7655633887,16225418.999999998,0.85,271866951.4616993,271787587.91,79363.55169931038,0.0,
9,396742.7655633887,16225418.999999998,0.85,271866951.4616993,271787587.91,79363.55169931038,0.0,
10,396742.7655633887,16225418.999999998,0.85,271866951.4616993,271787587.91,79363.55169931038,0.0,
