,average_run_time_per_iteration,no_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
optimal,3207.381,28,8000,5,1,piece-wise,3999938,101809430.0,-24.453,1.23,31.41,-24.537,2608624647.3,31277999246.4,-10.99,2608624647.3,31270859072.4,-10.987
optimal_fw,0.003,28,8000,5,1,piece-wise,3999938,3482790.2374994284,0.129,1.23,1.07,0.13,2608624647.3,2369778693.6364655,0.092,2608624647.3,2369773792.24,0.092
heuristic,4.589,27,8000,5,1,piece-wise,3999938,66934472.0,-15.734,1.23,20.65,-15.789,2608624647.3,27254350633.8,-9.448,2608624647.3,27249413393.8,-9.446
heuristic_fw,0.003,27,8000,5,1,piece-wise,3999938,3497026.3999765515,0.126,1.23,1.08,0.122,2608624647.3,2370572558.7731895,0.091,2608624647.3,2370566786.91,0.091
