,repeat,algorithm,average_run_time_per_iteration,no_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
0,0,optimal,1409.92,8,2000,5,1,piece-wise,972244,23320062.0,-22.986,1.2,28.83,-23.025,704591753.5,7776092640.2,-10.036,704591753.5,7773509475.2,-10.033
1,0,optimal_fw,0.001,8,2000,5,1,piece-wise,972244,910909.688664232,0.063,1.2,1.13,0.058,704591753.5,627085421.052623,0.11,704591753.5,627060080.72,0.11
2,0,heuristic,0.655,10,2000,5,1,piece-wise,972244,13127077.0,-12.502,1.2,16.23,-12.525,704591753.5,7311536243.6,-9.377,704591753.5,7310141339.6,-9.375
3,0,heuristic_fw,0.001,10,2000,5,1,piece-wise,972244,893028.2271041181,0.081,1.2,1.1,0.083,704591753.5,616870968.9755112,0.124,704591753.5,616863530.06,0.125
4,1,optimal,907.093,10,2000,5,1,piece-wise,982462,21767626.0,-21.156,1.22,27.13,-21.238,659295258.8,7357611561.9,-10.16,659295258.8,7355195625.9,-10.156
5,1,optimal_fw,0.001,10,2000,5,1,piece-wise,982462,915880.6675810976,0.068,1.22,1.14,0.066,659295258.8,601666626.2525849,0.087,659295258.8,601658496.02,0.087
6,1,heuristic,1.145,10,2000,5,1,piece-wise,982462,18609212.0,-17.941,1.22,23.19,-18.008,659295258.8,6895675494.7,-9.459,659295258.8,6894006884.7,-9.457
7,1,heuristic_fw,0.001,10,2000,5,1,piece-wise,982462,890381.7230938923,0.094,1.22,1.11,0.09,659295258.8,594980405.0228955,0.098,659295258.8,594974483.47,0.098
8,2,optimal,683.975,13,2000,5,1,piece-wise,1009286,19088322.0,-17.913,1.27,23.94,-17.85,632643216.6,7731901861.0,-11.222,632643216.6,7730193336.0,-11.219
9,2,optimal_fw,0.001,13,2000,5,1,piece-wise,1009286,899383.8944721838,0.109,1.27,1.13,0.11,632643216.6,574647061.744728,0.092,632643216.6,574642527.07,0.092
10,2,heuristic,0.812,17,2000,5,1,piece-wise,1009286,9611657.0,-8.523,1.27,12.05,-8.488,632643216.6,5632469166.5,-7.903,632643216.6,5631742446.5,-7.902
11,2,heuristic_fw,0.001,17,2000,5,1,piece-wise,1009286,883883.4847382669,0.124,1.27,1.11,0.126,632643216.6,572774028.3340442,0.095,632643216.6,572771678.58,0.095
12,3,optimal,716.767,12,2000,5,1,piece-wise,1029892,19328525.0,-17.768,1.28,24.11,-17.836,626420816.6,7920684273.6,-11.644,626420816.6,7918801985.6,-11.641
13,3,optimal_fw,0.001,12,2000,5,1,piece-wise,1029892,913157.357237213,0.113,1.28,1.14,0.109,626420816.6,572418616.3139492,0.086,626420816.6,572413803.87,0.086
14,3,heuristic,0.729,9,2000,5,1,piece-wise,1029892,20333487.0,-18.743,1.28,25.37,-18.82,626420816.6,7160332595.4,-10.431,626420816.6,7158748445.4,-10.428
15,3,heuristic_fw,0.001,9,2000,5,1,piece-wise,1029892,941060.3659102477,0.086,1.28,1.17,0.086,626420816.6,576848687.2385453,0.079,626420816.6,576835424.59,0.079
16,4,optimal,766.788,15,2000,5,1,piece-wise,1086548,17885589.0,-15.461,1.3,21.39,-15.454,652640071.7,7716241734.6,-10.823,652640071.7,7713919577.6,-10.82
17,4,optimal_fw,0.001,15,2000,5,1,piece-wise,1086548,958574.6405355341,0.118,1.3,1.15,0.115,652640071.7,594078647.2209764,0.09,652640071.7,594070537.81,0.09
18,4,heuristic,0.847,12,2000,5,1,piece-wise,1086548,21497506.0,-18.785,1.3,25.71,-18.777,652640071.7,7482938004.1,-10.466,652640071.7,7481074080.1,-10.463
19,4,heuristic_fw,0.001,12,2000,5,1,piece-wise,1086548,964690.5920202233,0.112,1.3,1.15,0.115,652640071.7,594778986.7696375,0.089,652640071.7,594771751.13,0.089
20,0,optimal,1472.045,13,4000,5,1,piece-wise,1917136,50391659.0,-25.285,1.2,31.51,-25.258,1354460955.3,15545305597.9,-10.477,1354460955.3,15539920299.9,-10.473
21,0,optimal_fw,0.001,13,4000,5,1,piece-wise,1917136,1760537.5608750142,0.082,1.2,1.1,0.083,1354460955.3,1215291427.089322,0.103,1354460955.3,1215273233.67,0.103
22,0,heuristic,1.682,15,4000,5,1,piece-wise,1917136,31320430.0,-15.337,1.2,19.59,-15.325,1354460955.3,14303484989.7,-9.56,1354460955.3,14296987128.7,-9.555
23,0,heuristic_fw,0.001,15,4000,5,1,piece-wise,1917136,1761777.7183041123,0.081,1.2,1.1,0.083,1354460955.3,1215864184.3969119,0.102,1354460955.3,1215845188.56,0.102
