,0,1,2,3
run_time,0.0,1.01,1.0299999999999998,0.9999999999999999
max_demand,17450.0,22410.0,25100.0,17450.0
cost,3687089.2,3182662.0,3182662.0,3182662.0
PAR,3.68,4.73,5.3,3.68
objective,3687089.2,3182886.0,3182735.0,3182673.0
step_size,1.0,0.45100000000000023,0.06799999999999999,0.0
inconvenient,0.0,224.0,73.0,11.0
total_demand,227333.0,227333.0,227333.0,227333.0
