,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
PAR,1.24,1.22,1.2,1.18,1.17,1.16,1.15,1.15,1.14,1.13,1.13,1.12,1.12,1.11,1.11,1.1,1.1,1.1,1.09,1.09,1.09
step_size,1.0,0.012000000000000004,0.017000000000000008,0.014045230742779588,0.011000000000000003,0.013000000000000005,0.005,0.005,0.003,0.007,0.005,0.006,0.005,0.003,0.003,0.006,0.004,0.001,0.002,0.001,0.0
inconvenient,0.0,194408.61600000007,258865.7215280001,212431.8295231337,108995.59187524556,69388.58430562183,52151.472078471896,33135.24263960764,38881.89527208118,46771.32673309543,53023.64336633452,28103.77413980199,29477.33612930099,39953.4889916121,24573.544533025164,17903.23473280185,23767.179061068793,5669.368820938931,6859.883262358123,5651.4481167376425,5651.4481167376425
total_demand,196017383.0,196017383.00000006,196017382.99999994,196017382.99999994,196017383.00000006,196017383.0,196017383.00000006,196017383.0,196017383.00000006,196017383.0,196017383.0,196017383.00000003,196017383.00000003,196017382.99999997,196017383.00000006,196017383.0,196017383.0,196017382.99999994,196017383.0000001,196017383.00000006,196017383.00000006
max_demand,5050547.0,4990272.663477684,4906113.323741416,4837653.372995162,4784704.460209118,4722875.144163736,4699307.949989216,4675858.356349183,4661844.804179346,4629309.626289478,4606209.324984339,4578641.070119188,4555793.605415772,4542139.887424546,4528527.089639795,4501423.764505659,4483445.0599890305,4478961.614929042,4470008.170660798,4465538.162490138,4465538.162490138
cost,3238659238.1,3182457013.93,3117340217.58,3079339448.24,3052256368.34,3029825445.27,3022612101.24,3016217997.31,3012916787.83,3005645687.01,3001252226.14,2996288790.89,2992749969.91,2990151666.21,2988184820.79,2985419120.32,2983450437.38,2982845476.53,2981989442.6,2981587066.28,2981587066.28
run_time,0.0,0.00634312629699707,0.00848698616027832,0.007061004638671875,0.005779266357421875,0.006009817123413086,0.0026001930236816406,0.003087282180786133,0.0017588138580322266,0.00489497184753418,0.0030982494354248047,0.0030450820922851562,0.0029702186584472656,0.002177000045776367,0.0021140575408935547,0.0038919448852539062,0.002671957015991211,0.0017251968383789062,0.0030210018157958984,0.0028638839721679688,0.0011250972747802734
objective,3238659238.1,3182651422.546,3117599083.301528,3079551880.069523,3052365363.931875,3029894833.8543057,3022664252.712078,3016251132.5526395,3012955669.725272,3005692458.3367333,3001305249.783366,2996316894.6641397,2992779447.246129,2990191619.698992,2988209394.334533,2985437023.554733,2983474204.559061,2982851145.8988214,2981996302.483262,2981592717.728117,2981592717.728117
