,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,3105.086,3048.993,2683.516,2647.499,2512.345,2679.798,2834.025,2494.542,2361.96,2701.493,2657.852,2803.724,2924.422,3103.779,3313.802,3387.021,3428.73,3470.334,3243.473,3173.115,3205.401,3529.706,3514.294,3287.191,3151.931,3014.403,3171.574,3397.57,3393.576,3535.166,3629.342,3441.996,3637.239,3598.052,3902.372,4146.378,4093.413,3650.252,3643.677,3524.706,3560.636,3667.027,3779.517,3291.18,3061.818,3008.184,3042.158,2808.321
1,0.547,1.039,68.401,503.67,9189.67,1266.902,37.89,45303.151,90064.83,6765.171,669.404,387.913,8.486,0.121,0.047,0.003,0.012,0.007,0.385,0.979,0.739,0.0,0.008,0.092,1.404,71.297,3.202,0.009,0.071,0.002,0.006,0.284,0.037,0.038,0.0,0.0,0.0,0.011,0.045,0.111,0.013,0.001,0.0,0.109,6.977,9.832,68.216,831.457
2,2.16,62.125,1507.472,5732.744,100338.854,35885.928,6119.455,1.141,0.018,286.435,1216.045,2248.907,10.265,0.159,0.025,0.037,0.014,0.017,0.585,2.65,0.384,0.001,0.008,0.067,2.11,87.51,5.244,0.003,0.015,0.041,0.004,0.515,0.036,0.058,0.0,0.0,0.0,0.054,0.011,0.235,0.015,0.004,0.0,0.091,5.59,15.393,147.162,1583.002
3,27.268,142.458,7916.935,9242.259,0.0,3.295,17.127,10.61,1.041,14627.522,38125.368,64096.324,511.645,10.638,0.011,0.022,0.014,0.017,0.552,2.24,1.864,0.001,0.004,0.165,2.163,93.156,5.302,0.039,0.144,0.006,0.011,0.537,0.046,0.058,0.0,0.0,0.0,0.05,0.004,0.225,0.032,0.003,0.0,0.186,14.484,26.813,270.518,20111.432
4,878.209,6839.956,41980.52,59631.189,0.703,588.851,41905.574,2328.521,8.21,12.863,1.641,0.003,148.091,29.045,0.419,0.037,0.022,0.011,1.542,1.734,1.565,0.002,0.013,0.117,25.462,199.853,1.879,0.075,0.188,0.029,0.058,0.998,0.028,0.076,0.0,0.0,0.0,0.079,0.025,0.316,0.023,0.008,0.0,0.161,347.857,126.071,64.824,135.741
5,297.893,178.188,5.802,0.043,0.0,3.443,3.151,1244.621,4070.966,32050.784,14766.808,2.154,71691.546,21487.815,120.456,0.035,0.045,0.017,0.757,6.233,0.635,0.002,0.013,0.158,12.696,136.712,25.388,0.052,0.119,0.023,0.017,1.979,0.08,0.029,0.0,0.0,0.0,0.208,0.06,0.158,0.06,0.02,0.0,0.134,3068.013,2963.055,2495.512,626.709
6,7750.721,9249.327,173.335,1.394,0.068,467.086,1.64,49375.286,1334.296,1.313,4.948,0.019,0.0,0.388,0.496,0.468,0.063,0.046,1.404,332.575,31.666,0.008,0.019,10.193,16710.944,20488.033,15369.416,0.615,0.282,0.01,0.014,1.415,0.08,0.155,0.002,0.0,0.0,0.105,0.031,0.618,0.045,0.017,0.0,8.354,15289.92,11541.158,4525.414,2589.202
7,543.29,156.048,3633.625,3.399,0.013,3131.35,1.303,0.0,1.379,70.582,5822.049,0.123,0.0,0.623,1.157,0.223,0.181,4.389,549.354,30281.674,36213.289,2.425,0.096,4.424,0.892,5.067,0.6,1.033,2.349,0.212,0.047,7.054,0.223,0.085,0.002,0.0,0.0,0.178,0.056,1.747,0.142,0.031,0.0,18.461,150.088,41522.422,23548.107,9582.797
8,36437.387,8978.174,6724.179,97.254,2.533,3007.251,1.303,0.0,73.576,12265.258,4186.869,0.27,0.008,1.043,1.288,1.334,0.397,7.867,19811.496,0.115,0.041,0.077,0.125,66.125,7.238,1.838,0.467,2.991,12.808,0.155,0.03,3.655,0.138,0.328,0.004,0.0,0.0,0.163,0.048,1.26,0.312,0.019,0.004,56.833,6.067,0.062,17.231,63486.968
9,333.254,27747.822,33204.194,3789.196,0.869,67060.416,8840.211,0.001,255.403,340.628,456.258,32.663,0.003,2578.476,3682.75,3336.139,398.643,9.025,3.265,0.59,0.038,0.074,0.126,644.784,24.129,3.868,2.366,15.559,23.771,0.079,0.063,3.574,0.195,0.326,0.003,0.0,0.0,0.161,0.075,1.262,0.485,0.019,0.004,1922.874,515.092,1.693,12.77,19.393
10,2.843,4.911,4.676,5.491,1.791,57.56,234.966,0.17,12986.194,32208.449,32319.969,482.024,0.001,3.646,609.789,18.77,3.03,0.456,2.474,0.431,0.094,0.14,2.315,65795.558,8139.003,376.5,80.964,38.704,19.932,0.064,0.062,2.411,0.206,1.436,0.003,0.0,0.0,0.58,0.193,0.762,0.456,0.019,0.004,1520.204,326.523,0.906,5.573,2.336
11,77.266,5.224,9.441,51.73,0.173,3.022,37.121,0.0,139.413,26.291,2.012,0.384,0.004,15543.834,14476.92,6347.477,530.119,21.023,547.902,1.343,0.117,0.295,0.347,0.027,0.225,1019.369,280.44,187.033,21.852,0.244,0.694,10.571,0.072,0.375,0.004,0.0,0.0,0.238,0.083,1.759,0.263,0.031,0.004,87975.444,27421.931,156.344,254.126,110.002
