,max_demand,total_demand,PAR,objective,cost,inconvenient,step_size,reschedule_time
0,263917.0,8321559.0,0.66,247423468.0,247423468.0,0.0,1.0,0.0
1,243514.97796158338,8321559.000000002,0.71,168458044.35,168199972.35,258071.99999999997,0.07999999999999999,
2,229950.97671498038,8321559.0,0.75,147703873.906,147563031.01,140842.89599999998,0.056999999999999995,
3,224695.06473146222,8321559.000000002,0.77,142947032.12339202,142886421.21,60610.913391999995,0.023,
4,217145.44614880814,8321559.000000002,0.8,138013451.85894468,137931570.03,81881.82894467202,0.034,
5,207128.94792949007,8321559.000000002,0.84,133579733.2040396,133478809.25,100923.95403960042,0.047,
6,202406.9129322385,8321558.999999998,0.86,131938142.4990571,131896841.95,41300.54905708919,0.023,
7,198004.88191619408,8321559.000000001,0.88,130969486.76792075,130934924.78,34561.98792074403,0.022,
8,193723.31735274967,8321559.0,0.89,129894258.36626574,129863989.93,30268.43626574363,0.022,
9,193723.31735274967,8321559.0,0.89,129894258.36626574,129863989.93,30268.43626574363,0.0,
10,193723.31735274967,8321559.0,0.89,129894258.36626574,129863989.93,30268.43626574363,0.0,
11,193723.31735274967,8321559.0,0.89,129894258.36626574,129863989.93,30268.43626574363,0.0,
