,max_demand,total_demand,PAR,objective,cost,inconvenient,step_size,reschedule_time
0,263917.0,8321559.0,0.66,247423468.0,247423468.0,0.0,1.0,0.0
1,244008.38217224518,8321559.0,0.71,168661030.58999997,168409410.39,251620.19999999995,0.07799999999999999,
2,230183.98018297585,8321559.000000001,0.75,148226117.1584,148082429.13,143688.02839999998,0.057999999999999996,
3,225150.27908655253,8321558.999999998,0.77,143191044.3433752,143133131.28,57913.06337519999,0.022,
4,220226.71033641783,8321558.999999999,0.79,139442815.75260574,139389774.04,53041.7126057456,0.022,
5,212182.98306680785,8321559.000000002,0.82,135183341.64663357,135102823.79,80517.8566335874,0.037,
6,205280.139804634,8321558.999999998,0.84,132559908.18073109,132499977.47,59930.71073109162,0.033,
7,200610.58247958164,8321558.999999999,0.86,131449652.82365318,131413948.33,35704.493653184894,0.023,
8,196245.14038151086,8321558.999999999,0.88,130599545.21113962,130569301.91,30243.30113962993,0.022,
9,194109.67583731425,8321559.000000001,0.89,130194283.23368746,130182689.71,11593.52368746407,0.011,
10,191444.03837559186,8321559.0,0.91,129704046.52066837,129689030.03,15016.490668375502,0.014,
11,191444.03837559186,8321559.0,0.91,129704046.52066837,129689030.03,15016.490668375502,0.0,
