,no_tasks,penalty_weight,cost_function_type,Average run_time
optimal,5,1,piece-wise,2.813
optimal_fw,5,1,piece-wise,0.002
heuristic,5,1,piece-wise,0.001
heuristic_fw,5,1,piece-wise,0.002
