,no_tasks,no_households,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,100,1,piece-wise,94364,112561.0,-19.30%,2.13,2.54,-19.20%,31674123.5,29735031.0,6.10%,31674123.5,29734494.0,6.10%,0.004
heuristic_fw,5,100,1,piece-wise,94364,59498.03496442472,36.90%,2.13,1.34,37.10%,31674123.5,29779336.76842223,6.00%,31674123.5,29779329.48,6.00%,0.001
