,no_tasks,no_households,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,100,1,piece-wise,74042,98538.0,-33.10%,2.01,2.68,-33.30%,26583337.6,24740342.0,6.90%,26583337.6,24738672.0,6.90%,0.002
heuristic_fw,5,100,1,piece-wise,74042,47459.34534156055,35.90%,2.01,1.29,35.80%,26583337.6,24798616.189437985,6.70%,26583337.6,24798569.28,6.70%,0.001
