,no_tasks,no_households,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,50,1,piece-wise,44514,69198.0,-55.50%,2.07,3.22,-55.60%,15525504.0,14450158.0,6.90%,15525504.0,14449154.0,6.90%,0.001
heuristic_fw,5,50,1,piece-wise,44514,28891.005581079156,35.10%,2.07,1.34,35.30%,15525504.0,14491768.544972774,6.70%,15525504.0,14491728.67,6.70%,0.001
