,0,1,2,3,4
total_demand,19251198.0,19251198.000000004,19251197.999999996,19251198.0,19251198.0
step_size,1.0,0.033,0.011,0.011,0.0
inconvenient,0.0,20579.031000000003,8342.982659,8351.937190751,8351.937190751
run_time,0.0,0.0009453296661376953,0.00047397613525390625,0.00047326087951660156,0.0002460479736328125
objective,300389427.9,290391036.95100003,288081512.94265896,286312042.75719076,286312042.75719076
cost,300389427.9,290370457.92,288073169.96,286303690.82,286303690.82
max_demand,555379.0,537252.356367551,531342.5804475079,525497.8120625853,525497.8120625853
PAR,1.38,1.34,1.32,1.31,1.31
