,no_tasks,no_households,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,1000,1,piece-wise,555379,10230144.0,-1742.00%,1.38,25.51,-1748.60%,300389427.9,277660351.0,7.60%,300389427.9,276898227.0,7.80%,0.01
heuristic_fw,5,1000,1,piece-wise,555379,525497.8120625853,5.40%,1.38,1.31,5.10%,300389427.9,286312042.75719076,4.70%,300389427.9,286303690.82,4.70%,0.001
