,no_tasks,no_households,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,1000,1,piece-wise,511659,13068739.0,-2454.20%,1.26,32.13,-2450.00%,337864688.3,286995372.0,15.10%,337864688.3,285900526.0,15.40%,0.011
heuristic_fw,5,1000,1,piece-wise,511659,494959.304198871,3.30%,1.26,1.22,3.20%,337864688.3,316336093.9431829,6.40%,337864688.3,316320649.73,6.40%,0.0
