,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
PAR,1.14,24.68,22.23,26.54,15.67,17.12,12.7,24.15,25.35,13.58,11.65,6.9,21.77,15.24,12.28,14.28,18.08,16.67
step_size,1.0,0.014000000000000005,0.012000000000000004,0.009000000000000001,0.012000000000000004,0.007,0.008,0.003,0.003,0.006,0.007,0.009000000000000001,0.001,0.002,0.002,0.001,0.001,0.0
inconvenient,0.0,13727443.0,12637070.0,14890752.0,12908963.0,11051316.0,10168535.0,7474828.0,11746205.0,7553436.0,7860816.0,6950168.0,8792057.0,5433289.0,4228549.0,4186857.0,9104542.0,11928627.0
total_demand,155022033.0,155022033.0,155022033.0,155022033.0,155022033.0,155022033.0,155022033.0,155022033.0,155022033.0,155022033.0,155022033.0,155022033.0,155022033.0,155022033.0,155022033.0,155022033.0,155022033.0,155022033.0
max_demand,3693329.0,79696122.0,71800200.0,85716207.0,50622819.0,55306992.0,41029920.0,78001477.0,81875533.0,43843712.0,37637907.0,22278540.0,70307655.0,49206767.0,39674452.0,46130213.0,58399019.0,53839752.0
cost,3047477589.7,31594464853.6,29805103357.6,30815250429.1,29662916006.4,30214825234.8,29271677553.4,30456440012.2,27261854567.8,26620378772.7,26984767849.2,25153259040.8,29675660172.7,28260450880.4,27774651230.0,26843718565.8,30380804915.8,27337186588.0
run_time,0.0,3.4419999999997426,4.5809999999999285,4.19099999999979,3.1279999999998096,3.842999999999765,5.27700000000018,4.305999999999845,4.902000000000088,5.310000000000215,4.738,4.983000000000079,4.9920000000001,5.5960000000002434,5.651000000000328,4.452999999999892,4.863000000000058,4.476999999999909
objective,3047477589.7,31608192296.6,29817740427.6,30830141181.1,29675824969.4,30225876550.8,29281846088.4,30463914840.2,27273600772.8,26627932208.7,26992628665.2,25160209208.8,29684452229.7,28265884169.4,27778879779.0,26847905422.8,30389909457.8,27349115215.0
