,level_0,level_1,level_2,no_tasks,no_households,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
0,0,50,heuristic,5,50,1,piece-wise,44514,69198.0,-55.50%,2.07,3.22,-55.60%,15525504.0,14450158.0,6.90%,15525504.0,14449154.0,6.90%,0.001
1,0,50,heuristic_fw,5,50,1,piece-wise,44514,28891.005581079156,35.10%,2.07,1.34,35.30%,15525504.0,14491768.544972774,6.70%,15525504.0,14491728.67,6.70%,0.001
2,0,100,heuristic,5,100,1,piece-wise,76575,202174.0,-164.00%,1.77,4.68,-164.40%,31863372.7,29060868.0,8.80%,31863372.7,29055908.0,8.80%,0.003
3,0,100,heuristic_fw,5,100,1,piece-wise,76575,49433.08607333621,35.40%,1.77,1.14,35.60%,31863372.7,29169143.74971226,8.50%,31863372.7,29169093.75,8.50%,0.001
4,1,50,heuristic,5,50,1,piece-wise,43053,41953.0,2.60%,2.44,2.37,2.90%,13551696.7,11879894.0,12.30%,13551696.7,11879798.0,12.30%,0.002
5,1,50,heuristic_fw,5,50,1,piece-wise,43053,26259.705549988026,39.00%,2.44,1.49,38.90%,13551696.7,11885560.3039551,12.30%,13551696.7,11885477.73,12.30%,0.002
6,1,100,heuristic,5,100,1,piece-wise,96638,105560.0,-9.20%,2.4,2.62,-9.20%,28763457.9,27093479.0,5.80%,28763457.9,27093290.0,5.80%,0.002
7,1,100,heuristic_fw,5,100,1,piece-wise,96638,60349.64038159183,37.60%,2.4,1.5,37.50%,28763457.9,27118354.2102,5.70%,28763457.9,27118026.35,5.70%,0.002
