,no_tasks,no_households,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,100,1,piece-wise,92931,92454.0,0.50%,2.24,2.23,0.40%,30136299.3,27875824.0,7.50%,30136299.3,27875680.0,7.50%,0.004
heuristic_fw,5,100,1,piece-wise,92931,58374.72664380009,37.20%,2.24,1.41,37.10%,30136299.3,27921960.404298626,7.30%,30136299.3,27921936.16,7.30%,0.001
