,average_run_time_per_iteration,no_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
heuristic,0.267,12,400,5,1,piece-wise,240773,3797402.0,-14.772,1.51,23.76,-14.735,116879213.8,1246664173.3,-9.666,116879213.8,1246339039.3,-9.663
heuristic_fw,0.001,12,400,5,1,piece-wise,240773,189394.0839186476,0.213,1.51,1.18,0.219,116879213.8,108791248.87963723,0.069,116879213.8,108789607.0,0.069
