,no_tasks,no_households,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,100,1,piece-wise,85405,83282.0,2.50%,2.27,2.21,2.60%,27971808.4,25325365.0,9.50%,27971808.4,25325174.0,9.50%,0.001
heuristic_fw,5,100,1,piece-wise,85405,53543.79009909992,37.30%,2.27,1.42,37.40%,27971808.4,25363872.647431277,9.30%,27971808.4,25363843.31,9.30%,0.002
