repeat,no_households,algorithm,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
0,10,heuristic,5,1,piece-wise,23751,24351.0,-2.50%,4.54,4.66,-2.60%,3916978.2,3515036.0,10.30%,3916978.2,3515036.0,10.30%,0.0
0,10,heuristic_fw,5,1,piece-wise,23751,13666.926981276123,42.50%,4.54,2.61,42.50%,3916978.2,3516320.85,10.20%,3916978.2,3516206.46,10.20%,0.003
0,50,heuristic,5,1,piece-wise,49543,58340.0,-17.80%,2.48,2.92,-17.70%,14589542.6,13445897.0,7.80%,14589542.6,13445584.0,7.80%,0.0
0,50,heuristic_fw,5,1,piece-wise,49543,31857.964357659148,35.70%,2.48,1.59,35.90%,14589542.6,13466008.718055721,7.70%,14589542.6,13465942.89,7.70%,0.002
0,100,heuristic,5,1,piece-wise,78838,86341.0,-9.50%,2.11,2.31,-9.50%,26645778.9,25064881.0,5.90%,26645778.9,25064441.0,5.90%,0.001
0,100,heuristic_fw,5,1,piece-wise,78838,50467.5645121533,36.00%,2.11,1.35,36.00%,26645778.9,25099208.72206705,5.80%,26645778.9,25099110.84,5.80%,0.002
1,10,heuristic,5,1,piece-wise,17935,17935.0,0.00%,4.45,4.45,0.00%,3316393.0,2706676.0,18.40%,3316393.0,2706676.0,18.40%,0.0
1,10,heuristic_fw,5,1,piece-wise,17935,10286.525853666079,42.60%,4.45,2.55,42.70%,3316393.0,2707904.60011509,18.30%,3316393.0,2707889.62,18.30%,0.002
1,50,heuristic,5,1,piece-wise,47728,41633.0,12.80%,2.69,2.35,12.60%,12818012.5,11912072.0,7.10%,12818012.5,11911984.0,7.10%,0.001
1,50,heuristic_fw,5,1,piece-wise,47728,29187.293342191864,38.80%,2.69,1.65,38.70%,12818012.5,11925663.352443,7.00%,12818012.5,11925649.89,7.00%,0.002
1,100,heuristic,5,1,piece-wise,89248,213271.0,-139.00%,1.97,4.71,-139.10%,33737856.1,30458671.0,9.70%,33737856.1,30455683.0,9.70%,0.002
1,100,heuristic_fw,5,1,piece-wise,89248,56610.647724640796,36.60%,1.97,1.25,36.50%,33737856.1,30548467.580332737,9.50%,33737856.1,30548446.97,9.50%,0.001
