,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,1,piece-wise,21700,33600.0,-54.80%,6.03,9.33,-54.70%,2814585.5,2420459.0,14.00%,2814585.5,2420278.0,14.00%,0.0
heuristic_fw,5,1,piece-wise,21700,21200.9,2.30%,6.03,5.89,2.30%,2814585.5,2703101.853,4.00%,2814585.5,2703097.69,4.00%,0.0
