,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,1,piece-wise,70481,393917.0,-458.90%,1.62,9.08,-460.50%,34409757.8,29180136.0,15.20%,34409757.8,29154964.0,15.30%,0.001
heuristic_fw,5,1,piece-wise,70481,47879.104717009286,32.10%,1.62,1.1,32.10%,34409757.8,29335175.264977865,14.70%,34409757.8,29334847.92,14.70%,0.001
