,0,1,2,3,4,5,6,7
PAR,1.62,3.76,3.89,3.38,3.91,4.71,10.02,9.08
total_demand,2082183.0,2082183.0,2082183.0,2082183.0,2082183.0,2082183.0,2082183.0,2082183.0
cost,34409757.8,29150691.0,29151483.0,29151046.0,29152147.0,29152595.0,29155007.0,29154964.0
objective,34409757.8,29161300.0,29164282.0,29159339.0,29168242.0,29171426.0,29184969.0,29180136.0
max_demand,70481.0,162943.0,168858.0,146460.0,169403.0,204237.0,434857.0,393917.0
inconvenient,0.0,10609.0,12799.0,8293.0,16095.0,18831.0,29962.0,25172.0
run_time,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.002
step_size,1.0,0.18000000000000002,0.11299999999999998,0.06999999999999999,0.022,0.011,0.011,0.0
