,max_demand,total_demand,PAR,objective,cost,inconvenient,step_size,reschedule_time
0,259532.0,7838021.0,0.63,201646519.6,201646519.6,0.0,1.0,0.0
1,228410.9995252997,7838021.000000002,0.71,137948303.02,137722052.52,226250.49999999994,0.12699999999999997,
2,210968.40502588425,7838021.000000001,0.77,124512364.6705,124387090.46,125274.21049999999,0.07899999999999999,
3,201666.89616800204,7838020.999999999,0.81,120866212.51052749,120797073.35,69139.16052749999,0.045,
4,197110.67822243218,7838021.0,0.83,119709294.99930787,119677293.7,32001.2993078675,0.023,
5,192884.5813806036,7838021.000000001,0.85,119406486.29141523,119379573.72,26912.571415226914,0.022,
6,190811.78998541695,7838021.000000002,0.86,119034225.37171443,119021145.41,13079.961714432504,0.011,
7,188789.11229557736,7838021.000000001,0.86,118544396.92042114,118534441.7,9955.220421141243,0.011,
8,188789.11229557736,7838021.000000001,0.86,118544396.92042114,118534441.7,9955.220421141243,0.0,
9,188789.11229557736,7838021.000000001,0.86,118544396.92042114,118534441.7,9955.220421141243,0.0,
