,max_demand,total_demand,PAR,objective,cost,inconvenient,step_size,reschedule_time
0,259532.0,7838021.0,0.63,201646519.6,201646519.6,0.0,1.0,0.0
1,233756.4325836353,7838021.000000003,0.7,144428519.54,144243243.54,185275.99999999997,0.10399999999999998,
2,218085.2785099542,7838021.0,0.75,127946783.056,127834539.1,112243.95599999999,0.06899999999999999,
3,208232.0882699677,7838020.999999998,0.78,122986341.058024,122915066.08,71274.978024,0.046,
4,198660.56441262495,7838020.999999998,0.82,120828457.10603288,120763163.53,65293.576032872,0.047,
5,192239.7050485019,7838021.000000002,0.85,119550932.4519909,119511662.24,39270.211990915224,0.033,
6,188115.08242174573,7838020.999999998,0.87,118436273.47533621,118410385.42,25888.055336199865,0.022,
7,186158.36851510653,7838020.999999997,0.88,118361279.78139131,118351465.45,9814.331391301801,0.011,
8,184190.17846144034,7838020.999999998,0.89,118138346.41235471,118127399.37,10947.042354695679,0.011,
9,184190.17846144034,7838020.999999998,0.89,118138346.41235471,118127399.37,10947.042354695679,0.0,
