,0,1,2,3
max_demand,1087957.0,1055643.589143,1045087.1532515701,1045087.1532515701
objective,610825058.1,592592643.7600001,587617012.1306,587617012.1306
inconvenient,0.0,42287.939999999995,19044.6306,19044.6306
total_demand,38956140.0,38956139.99999999,38956140.0,38956140.0
run_time,0.0,0.0014240741729736328,0.0030121803283691406,0.0016639232635498047
cost,610825058.1,592550355.82,587597967.5,587597967.5
PAR,1.34,1.3,1.29,1.29
step_size,1.0,0.03,0.01,0.0
