,max_demand,total_demand,PAR,objective,cost,inconvenient,step_size,reschedule_time
0,444951.0,15926859.0,0.75,574465604.9,574465604.9,0.0,1.0,0.0
1,429993.69584712,15926859.0,0.77,449803965.11,449420625.31,383339.80000000005,0.034,
2,410968.7469296081,15926859.0,0.81,382404967.329,381981465.12,423502.209,0.045,
3,401977.57741653523,15926858.999999998,0.83,353656228.531402,353466889.98,189338.55140199998,0.022,
4,397556.59406495333,15926858.999999998,0.83,346697800.1559346,346601903.68,95896.47593457799,0.011,
5,388469.08882787597,15926859.000000004,0.85,332951631.2010535,332841088.52,110542.6810535047,0.023,
6,379976.1623014109,15926858.999999996,0.87,327754410.40101683,327650991.54,103418.86101682289,0.022,
7,375801.0225160954,15926859.000000002,0.88,321382933.38252884,321325971.19,56962.19252881494,0.011,
8,375801.0225160954,15926859.000000002,0.88,321382933.38252884,321325971.19,56962.19252881494,0.0,
9,375801.0225160954,15926859.000000002,0.88,321382933.38252884,321325971.19,56962.19252881494,0.0,
