,max_demand,total_demand,PAR,objective,cost,inconvenient,step_size,reschedule_time
0,444951.0,15926859.0,0.75,574465604.9,574465604.9,0.0,1.0,0.0
1,430428.90100486,15926859.000000002,0.77,451128436.37,450756371.27,372065.10000000003,0.033,
2,421011.96278077463,15926859.000000002,0.79,411260281.8778,411052988.31,207293.5678,0.022,
3,411801.0577480941,15926858.999999996,0.81,379312981.8515084,379118886.71,194095.14150839997,0.022,
4,402384.42565151065,15926859.000000004,0.82,352193180.4617453,351992779.05,200401.41174530677,0.023,
5,397958.966969344,15926858.999999998,0.83,344893053.3644708,344841334.68,51718.68447080162,0.011,
6,389255.6765240217,15926859.0,0.85,335432244.1489417,335327531.16,104712.98894164235,0.022,
7,384977.0760822575,15926858.999999998,0.86,332038446.27712166,331981498.32,56947.95712164193,0.011,
8,380745.54024535266,15926859.000000002,0.87,328142183.24247164,328096344.57,45838.672471661936,0.011,
9,380745.54024535266,15926859.000000002,0.87,328142183.24247164,328096344.57,45838.672471661936,0.0,
