,no_tasks,no_households,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,500,1,piece-wise,296168,4027526.0,-1259.90%,1.47,19.94,-1256.50%,147312996.0,141552293.0,3.90%,147312996.0,141345794.0,4.10%,0.009
heuristic_fw,5,500,1,piece-wise,296168,253167.24812451363,14.50%,1.47,1.25,15.00%,147312996.0,138550444.78962645,5.90%,147312996.0,138547065.75,6.00%,0.001
