,0,1,2,3,4,5,6
run_time,0.0,0.001,0.0,0.001,0.0,0.0,0.001
max_demand,19410.0,36075.0,34759.0,36060.0,36075.0,31455.0,22639.0
cost,5695899.8,5077659.0,5077646.0,5077646.0,5077646.0,5077646.0,5077646.0
PAR,2.57,4.77,4.6,4.77,4.77,4.16,3.0
objective,5695899.8,5078168.0,5078029.0,5077814.0,5077795.0,5077776.0,5077741.0
step_size,1.0,0.2870000000000001,0.11799999999999998,0.052000000000000005,0.049,0.027,0.0
inconvenient,0.0,509.0,383.0,168.0,149.0,130.0,95.0
total_demand,362689.0,362689.0,362689.0,362689.0,362689.0,362689.0,362689.0
