,0,1,2,3,4,5,6
run_time,0.0,2.2300000000000004,2.3000000000000003,4.94,4.16,2.190000000000001,2.3100000000000005
max_demand,19410.0,38507.0,38507.0,47075.0,39530.0,38507.0,38507.0
cost,5695899.8,5077659.0,5077646.0,5077646.0,5077650.0,5077646.0,5077646.0
PAR,2.57,5.1,5.1,6.23,5.23,5.1,5.1
objective,5695899.8,5078124.0,5077796.0,5077854.0,5077949.0,5077762.0,5077762.0
step_size,1.0,0.3110000000000001,0.052000000000000005,0.06,0.089,0.012,0.0
inconvenient,0.0,465.0,150.0,208.0,299.0,116.0,116.0
total_demand,362689.0,362689.0,362689.0,362689.0,362689.0,362689.0,362689.0
