,0,1,2,3,4,5,6
run_time,0.0,0.004270076751708984,0.0008969306945800781,0.0008089542388916016,0.0010633468627929688,0.0003368854522705078,0.0001862049102783203
max_demand,19410.0,14345.691043879695,13613.981998728037,12815.206768819173,12758.24388362022,12605.144957016777,12605.144957016777
cost,5695899.8,5100641.55,5096211.35,5091566.66,5088202.66,5088057.12,5088057.12
PAR,2.57,1.9,1.8,1.7,1.69,1.67,1.67
objective,5695899.8,5100786.165,5096211.63002,5091579.1231988,5088228.161775307,5088058.205978696,5088058.205978696
step_size,1.0,0.3110000000000001,0.052000000000000005,0.06,0.089,0.012,0.0
inconvenient,0.0,144.61500000000004,0.28001999999999805,12.463198799999999,25.5017753068,1.0859786963184,1.0859786963184
total_demand,362689.0,362689.0,362689.0,362688.99999999994,362689.0,362689.0000000001,362689.0000000001
