,0,1,2,3,4,5,6
run_time,0.0,0.0038590431213378906,0.00179290771484375,0.0008282661437988281,0.0006489753723144531,0.0004911422729492188,0.0001761913299560547
max_demand,19410.0,14540.181806552382,13510.215214674086,13275.770041188574,12635.24408683844,12296.392110917608,12296.392110917608
cost,5695899.8,5109275.29,5092835.14,5090882.0,5089689.82,5089164.6,5089164.6
PAR,2.57,1.92,1.79,1.76,1.67,1.63,1.63
objective,5695899.8,5109421.373,5092863.096206,5090889.282277288,5089696.764168413,5089167.922507453,5089167.922507453
step_size,1.0,0.2870000000000001,0.11799999999999998,0.052000000000000005,0.049,0.027,0.0
inconvenient,0.0,146.08300000000006,27.956205999999987,7.282277288000001,6.944168412888001,3.3225074528520238,3.3225074528520238
total_demand,362689.0,362689.0,362689.00000000006,362689.00000000006,362689.00000000006,362689.0,362689.0
