,0,1,2,3,4,5,6,7,8,9,10
objective,161581009.7,152109906.441,150633831.731418,149700829.7385488,148876913.47915193,148247668.31941867,147968998.54709756,147484097.64460158,147363004.19480938,147209175.5967142,147209175.5967142
cost,161581009.7,152099586.96,150630382.12,149696146.7,148870277.18,148242653.25,147964384.25,147480226.9,147360947.5,147208065.47,147208065.47
inconvenient,0.0,10319.480999999998,3449.611418,4683.038548804,6636.299151926311,5015.069418657621,4614.297097557451,3870.7446015854885,2056.6948093825595,1110.1267141935834,1110.1267141935834
step_size,1.0,0.08099999999999999,0.022,0.022,0.022,0.022,0.013,0.034999999999999996,0.011,0.022,0.0
run_time,0.0,0.0046308040618896484,0.0022668838500976562,0.001583099365234375,0.0016591548919677734,0.0014629364013671875,0.0009920597076416016,0.0019488334655761719,0.0009889602661132812,0.0015320777893066406,0.0004999637603759766
total_demand,10346671.0,10346671.000000004,10346671.000000002,10346671.000000002,10346670.999999998,10346671.000000002,10346671.0,10346671.000000002,10346670.999999996,10346671.000000002,10346671.000000002
PAR,1.46,1.34,1.32,1.29,1.26,1.23,1.21,1.17,1.16,1.13,1.13
max_demand,314496.0,289888.1372796506,283545.6747241091,277341.97890682035,271274.01375031803,265338.8096034748,261889.40507862964,252829.4529367104,250048.3289544066,244577.52156521316,244577.52156521316
