,no_tasks,no_households,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,50,1,piece-wise,59684,70294.0,-17.80%,2.8,3.3,-17.90%,15858246.6,14327000.0,9.70%,15858246.6,14326928.0,9.70%,0.0
heuristic_fw,5,50,1,piece-wise,59684,37596.40574718635,37.00%,2.8,1.76,37.10%,15858246.6,14337801.089977,9.60%,15858246.6,14337841.36,9.60%,0.002
