,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,1,piece-wise,42337,47156.0,-11.40%,2.63,2.93,-11.40%,11716455.5,10825571.0,7.60%,11716455.5,10825150.0,7.60%,0.0
heuristic_fw,5,1,piece-wise,42337,26745.93564032653,36.80%,2.63,1.66,36.90%,11716455.5,10846705.399560738,7.40%,11716455.5,10846703.46,7.40%,0.001
