no_households,algorithm,penalty_weight,cost_function_type,no_tasks,max_demand initial,max_demand final,PAR initial,PAR final,objective initial,objective final,cost initial,cost final,Average run_time
10,heuristic,1,piece-wise,5.0,23746.5,25354.5,6.415,6.73,3550269.0999999996,2778642.0,3550269.0999999996,2778608.0,0.0
10,heuristic_fw,1,piece-wise,5.0,23746.5,13897.251654050564,6.415,3.67,3550269.0999999996,2782933.376581698,3550269.0999999996,2782917.055,0.0005
50,heuristic,1,piece-wise,5.0,47099.0,66210.0,2.26,3.17,15896125.6,14022550.0,15896125.6,14022146.0,0.001
50,heuristic_fw,1,piece-wise,5.0,47099.0,30453.69036554788,2.26,1.46,15896125.6,14050649.26119835,15896125.6,14050620.22,0.002
100,heuristic,1,piece-wise,5.0,76698.0,68436.0,2.07,1.85,26615118.1,24850734.0,26615118.1,24850378.0,0.001
100,heuristic_fw,1,piece-wise,5.0,76698.0,48192.16098608247,2.07,1.3,26615118.1,24899496.7678328,26615118.1,24899446.52,0.001
