,0,1,2,3
max_demand,2000012.0,33368961.0,36286161.0,46585497.0
objective,1294267793.1,15894790373.6,14982439328.4,15623490936.4
inconvenient,0.0,4629370.0,5095229.0,6340008.0
total_demand,76985651.0,76985651.0,76985651.0,76985651.0
run_time,0.0,1488.4399999999778,1198.7299999999732,996.5700000000193
cost,1294267793.1,15890161003.6,14977344099.4,15617150928.4
PAR,1.25,20.81,22.62,29.05
step_size,1.0,0.02,0.01,0.0
