,0,1,2,3,4,5,6,7,8,9,10,11
max_demand,1028720.0,19399028.0,19794064.0,20181716.0,18689716.0,17499308.0,13408229.0,16973224.0,7921951.0,10619173.0,8454431.0,12810409.0
objective,637655009.6,6776701388.2,7233082181.0,7333299993.2,6798562238.2,6991381836.6,6208881157.4,6476223025.6,6334601734.2,6645869309.5,6610781774.2,6811603233.9
inconvenient,0.0,2353579.0,2621240.0,2859234.0,2007298.0,2219903.0,1798378.0,2353002.0,1045213.0,1110261.0,843763.0,1379788.0
total_demand,38283360.0,38283360.0,38283360.0,38283360.0,38283360.0,38283360.0,38283360.0,38283360.0,38283360.0,38283360.0,38283360.0,38283360.0
run_time,0.0,1.321999999999968,1.5189999999999435,1.5639999999999572,1.673999999999946,1.274999999999982,1.5799999999999574,1.8129999999999324,1.413999999999971,1.3409999999999775,1.2719999999999818,1.6639999999999513
cost,637655009.6,6774347809.2,7230460941.0,7330440759.2,6796554940.2,6989161933.6,6207082779.4,6473870023.6,6333556521.2,6644759048.5,6609938011.2,6810223445.9
PAR,1.29,24.32,24.82,25.3,23.43,21.94,16.81,21.28,9.93,13.31,10.6,16.06
step_size,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.0
