,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,1,piece-wise,74942,89902.0,-20.00%,1.9,2.28,-20.00%,28411420.9,26443649.0,6.90%,28411420.9,26442680.0,6.90%,0.001
heuristic_fw,5,1,piece-wise,74942,49857.94619543452,33.50%,1.9,1.27,33.20%,28411420.9,26519194.964110862,6.70%,28411420.9,26518973.52,6.70%,0.002
