,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
PAR,1.28,1.26,1.23,1.21,1.2,1.19,1.16,1.15,1.14,1.13,1.12,1.12,1.12,1.11,1.11,1.1,1.1,1.1,1.09,1.09,1.09,1.09,1.08,1.08,1.08,1.08,1.08,1.08,1.08
step_size,1.0,0.016000000000000007,0.024000000000000014,0.011000000000000003,0.009000000000000001,0.011000000000000003,0.024130062679564825,0.011000000000000003,0.006,0.010000000000000002,0.005,0.003,0.003,0.006210493707519309,0.004028269372312189,0.002,0.002,0.002,0.006,0.001,0.001,0.003,0.003,0.003,0.002,0.002,0.001,0.001,0.0
inconvenient,0.0,75121.00800000003,146903.78380800007,60001.55937811201,49009.854965597,60161.124595378446,29258.832105423997,45792.55084684035,28933.22069491896,34819.63779305082,21651.106811034744,13963.283679566897,15393.7521489613,10700.943038068803,14384.144504110367,9558.75771099178,6591.490484578017,5678.891019030844,16972.914653885815,4402.445085346114,4356.8445549146545,3465.840466335256,3065.706478600994,1934.6408805641972,2842.6587182388716,2469.506682563522,1390.1104933174365,2088.4178895066825,2088.4178895066825
total_demand,78161919.0,78161919.00000001,78161919.0,78161918.99999999,78161919.00000001,78161918.99999999,78161919.0,78161918.99999999,78161919.00000001,78161918.99999999,78161919.0,78161919.00000001,78161919.00000003,78161919.0,78161919.00000001,78161919.00000001,78161919.00000001,78161919.0,78161919.0,78161919.00000004,78161919.00000001,78161919.00000003,78161919.0,78161919.00000003,78161918.99999999,78161918.99999997,78161919.0,78161919.0,78161919.0
max_demand,2078455.0,2045447.974438926,1996917.6483549015,1975061.0558603061,1957356.4428990548,1935988.7184332134,1889809.3523809938,1869249.0646487924,1858817.820810161,1840986.849153385,1831800.3063754444,1826310.399025437,1820836.9449332473,1809593.8332801296,1802315.3055064646,1798712.477210757,1795116.8509688128,1791528.412383726,1780806.0790319033,1779102.9829528714,1777323.8799699184,1771997.2385243245,1766686.56102847,1761391.7996383812,1757870.777430904,1754368.4099358197,1752614.0415258838,1750895.725484358,1750895.725484358
cost,1282315481.6,1254554688.94,1220554670.37,1208509641.46,1200017881.1,1190801421.66,1177430684.2,1172486437.42,1170340546.97,1167563241.28,1166108425.8,1165216569.84,1164628586.27,1163784840.19,1163112775.42,1162881938.34,1162623877.49,1162405095.05,1161907721.18,1161771262.59,1161657858.65,1161457804.21,1161299319.05,1161151774.3,1161072980.42,1160980498.9,1160921208.84,1160869464.24,1160869464.24
run_time,0.0,0.007095813751220703,0.010294914245605469,0.005040168762207031,0.003976106643676758,0.004956722259521484,0.010170221328735352,0.004690885543823242,0.002955198287963867,0.004481077194213867,0.002402067184448242,0.001722097396850586,0.0016720294952392578,0.0028488636016845703,0.002171754837036133,0.0012650489807128906,0.0012438297271728516,0.001567840576171875,0.0032629966735839844,0.001216888427734375,0.001271963119506836,0.0016319751739501953,0.0017867088317871094,0.0017848014831542969,0.0013611316680908203,0.0013701915740966797,0.0010519027709960938,0.0009868144989013672,0.0005671977996826172
objective,1282315481.6,1254629809.948,1220701574.1538079,1208569643.0193782,1200066890.9549656,1190861582.7845955,1177459943.0321054,1172532229.970847,1170369480.190695,1167598060.917793,1166130076.906811,1165230533.1236794,1164643980.0221488,1163795541.133038,1163127159.5645041,1162891497.0977108,1162630468.9804845,1162410773.941019,1161924694.0946538,1161775665.0350852,1161662215.494555,1161461270.0504663,1161302384.7564785,1161153708.9408805,1161075823.0787184,1160982968.4066827,1160922598.9504933,1160871552.6578896,1160871552.6578896
