,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,1,piece-wise,22545,22545.0,0.00%,5.56,5.56,0.00%,3314518.0,2723164.0,17.80%,3314518.0,2723154.0,17.80%,0.0
heuristic_fw,5,1,piece-wise,22545,13585.899042739447,39.70%,5.56,3.35,39.70%,3314518.0,2725002.912008,17.80%,3314518.0,2725005.14,17.80%,0.001
