,0,1,2
run_time,0.0,0.003084897994995117,0.000286102294921875
max_demand,19750.0,11300.0,11300.0
cost,3303334.8,2945878.92,2945878.92
PAR,4.51,2.58,2.58
objective,3303334.8,2945957.02,2945957.02
step_size,1.0,0.7100000000000002,0.0
inconvenient,0.0,78.10000000000002,78.10000000000002
total_demand,210398.0,210398.00000000003,210398.00000000003
