,0,1,2
run_time,0.0,1.2100000000000002,1.2500000000000002
max_demand,19750.0,15195.0,19750.0
cost,3303334.8,2945572.0,2945572.0
PAR,4.51,3.47,4.51
objective,3303334.8,2945682.0,2945572.0
step_size,1.0,0.7100000000000002,0.0
inconvenient,0.0,110.0,0.0
total_demand,210398.0,210398.0,210398.0
