,0,1,2
PAR,5.07,3.25,3.29
total_demand,403030.0,403030.0,403030.0
max_demand,42606.0,27300.0,27650.0
step_size,1.0,0.29000000000000004,0.0
run_time,0.0,0.0,0.0
objective,6473821.7,5642727.0,5642722.0
inconvenient,0.0,307.0,301.0
cost,6473821.7,5642420.0,5642421.0
