,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
optimal,5,1,piece-wise,42606,44420.0,-4.30%,5.07,5.29,-4.30%,6473821.7,5642586.0,12.80%,6473821.7,5642421.0,12.80%,2.473
optimal_fw,5,1,piece-wise,42606,27368.357793436648,35.80%,5.07,3.26,35.70%,6473821.7,5651222.944383999,12.70%,6473821.7,5651218.64,12.70%,0.001
heuristic,5,1,piece-wise,42606,27650.0,35.10%,5.07,3.29,35.10%,6473821.7,5642722.0,12.80%,6473821.7,5642421.0,12.80%,0.0
heuristic_fw,5,1,piece-wise,42606,30392.393615999998,28.70%,5.07,3.62,28.60%,6473821.7,5657386.16,12.60%,6473821.7,5657297.13,12.60%,0.0
