,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,1,piece-wise,80331,80432.0,-0.10%,2.04,2.04,0.00%,28551121.3,26493599.0,7.20%,28551121.3,26493096.0,7.20%,0.001
heuristic_fw,5,1,piece-wise,80331,50752.057124382525,36.80%,2.04,1.29,36.80%,28551121.3,26540145.673175193,7.00%,28551121.3,26540123.02,7.00%,0.002
