,0,1,2,3,4,5
PAR,2.04,2.9,2.89,2.3,2.04,2.04
step_size,1.0,0.2910000000000001,0.18400000000000002,0.071,0.036,0.0
total_demand,1892364.0,1892364.0,1892364.0,1892364.0,1892364.0,1892364.0
max_demand,80331.0,114425.0,114074.0,90756.0,80578.0,80432.0
run_time,0.0,0.0,0.0,0.0,0.0,0.004
cost,28551121.3,26493134.0,26493127.0,26493098.0,26493096.0,26493096.0
objective,28551121.3,26497098.0,26496338.0,26494642.0,26493808.0,26493599.0
inconvenient,0.0,3964.0,3211.0,1544.0,712.0,503.0
