,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,14024,3708,1371,8165,6000,245,4466,6420,72,4000,0,13520,21600,12000,3620,1200,4875,9681,2943,7256,132,204,0,0,3600,9600,650,165,1609,5812,7090,8430,20,0,6100,8000,2100,5110,7765,5205,790,0,4000,12110,3355,7800,11100,23700
1,2524,3708,1371,8165,6000,45,4166,6420,72,4010,1265,4030,0,18000,21620,7200,4875,9681,2943,7256,132,10204,0,0,3900,9900,850,365,1909,3412,7090,8430,0,0,6100,10400,2100,10,2465,4905,690,0,4000,12000,4500,26800,26100,0
2,2524,3708,1371,8165,6300,345,4366,6420,72,4000,0,13520,21620,12000,6020,1200,4875,9681,12943,7256,132,204,100,300,3700,9710,705,165,1609,3412,7090,8430,0,0,6100,8000,2100,10,2465,4905,690,0,4000,14400,24700,30300,0,0
3,2524,3708,1371,8165,8400,45,4166,6420,72,10000,19200,21920,0,0,3620,1400,5175,9981,2943,7256,132,504,200,10000,3600,9600,650,165,1629,3412,7090,8430,0,0,6265,8000,2100,10,2465,4905,690,0,6400,34600,32400,0,0,0
4,2524,3708,1371,8165,6000,65,4466,6720,272,4000,0,13520,21600,12000,3620,1200,4875,19681,2943,7256,132,204,0,2400,3600,9600,650,165,1809,3712,7090,8430,0,0,6210,8055,2100,10,2465,4905,690,0,4000,12000,3300,11800,26100,16200
