,average_run_time_per_iteration,no_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
optimal,1630.284,18,4000,5,1,piece-wise,1923550,49072635.0,-24.511,1.18,30.13,-24.534,1403951168.8,15736559277.4,-10.209,1403951168.8,15729786686.4,-10.204
optimal_fw,0.004,18,4000,5,1,piece-wise,1923550,1732460.6710390465,0.099,1.18,1.06,0.102,1403951168.8,1255096059.0245771,0.106,1403951168.8,1255092859.01,0.106
heuristic,1.405,27,4000,5,1,piece-wise,1923550,42737881.0,-21.218,1.18,26.24,-21.237,1403951168.8,13466252632.0,-8.592,1403951168.8,13461157389.0,-8.588
heuristic_fw,0.003,27,4000,5,1,piece-wise,1923550,1682691.2543270981,0.125,1.18,1.03,0.127,1403951168.8,1251274023.9480524,0.109,1403951168.8,1251273158.19,0.109
