,0,1
step_size,1.0,0.0
max_demand,67525.0,35119.0
objective,8941517.0,7817024.0
total_demand,558344.0,558344.0
PAR,5.81,3.02
cost,8941517.0,7816816.0
inconvenient,0.0,208.0
run_time,0.0,2.1400000000000006
