,0,1
step_size,1.0,0.0
max_demand,67525.0,67525.0
objective,8941517.0,8941517.0
total_demand,558344.0,558344.0
PAR,5.81,5.81
cost,8941517.0,8941517.0
inconvenient,0.0,0.0
run_time,0.0,0.0002281665802001953
