,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
optimal,5,1,piece-wise,67525,35119,48.00%,5.81,3.02,48.00%,8941517.0,7817024.0,12.60%,8941517.0,7816816.0,12.60%,2.14
optimal_fw,5,1,piece-wise,67525,67525,0.00%,5.81,5.81,0.00%,8941517.0,8941517.0,0.00%,8941517.0,8941517.0,0.00%,0.0
heuristic,5,1,piece-wise,67525,35119,48.00%,5.81,3.02,48.00%,8941517.0,7817084.0,12.60%,8941517.0,7816816.0,12.60%,0.02
heuristic_fw,5,1,piece-wise,67525,67525,0.00%,5.81,5.81,0.00%,8941517.0,8941517.0,0.00%,8941517.0,8941517.0,0.00%,0.0
