,average_run_time_per_iteration,no_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
heuristic,0.8,10,2000,5,1,piece-wise,1015317,17249912.0,-15.99,1.25,21.23,-15.984,642764697.5,6913672527.0,-9.756,642764697.5,6911572089.0,-9.753
heuristic_fw,0.001,10,2000,5,1,piece-wise,1015317,941776.5427137183,0.072,1.25,1.16,0.072,642764697.5,596729386.8987695,0.072,642764697.5,596722526.78,0.072
