,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
PAR,1.26,25.94,18.53,17.13,27.92,15.36,17.25,31.03,30.66,25.39,31.3,18.12,17.26,21.13,15.97,21.8,5.5,15.65,9.74,9.1,17.58,12.44,25.33,3.63,3.11,4.22,31.16
step_size,1.0,0.013000000000000005,0.01800000000000001,0.01800000000000001,0.008,0.010000000000000002,0.010000000000000002,0.004,0.003,0.004,0.003,0.008,0.005,0.004,0.005,0.004,0.01214917480610184,0.003,0.005,0.005,0.002,0.003,0.001,0.009000000000000001,0.006046473455178997,0.004269868396371387,0.0
inconvenient,0.0,14698220.0,14896031.0,12129052.0,14254210.0,9100207.0,5925418.0,14093462.0,13908225.0,9175180.0,9430674.0,8446616.0,7030690.0,8260788.0,5813325.0,12088322.0,2584419.0,5002251.0,5206702.0,5350739.0,6498717.0,5233328.0,10079732.0,416473.0,420285.0,812388.0,13748727.0
total_demand,194224824.0,194224824.0,194224824.0,194224824.0,194224824.0,194224824.0,194224824.0,194224824.0,194224824.0,194224824.0,194224824.0,194224824.0,194224824.0,194224824.0,194224824.0,194224824.0,194224824.0,194224824.0,194224824.0,194224824.0,194224824.0,194224824.0,194224824.0,194224824.0,194224824.0,194224824.0,194224824.0
max_demand,5084213.0,104951953.0,74965838.0,69307485.0,112955648.0,62134906.0,69815631.0,125569701.0,124062389.0,102746594.0,126644044.0,73325653.0,69838512.0,85499448.0,64635550.0,88209978.0,22266780.0,63336489.0,39426920.0,36816178.0,71149841.0,50337173.0,102479375.0,14684192.0,12598298.0,17088498.0,126100890.0
cost,3216649612.9,40103978641.2,39487387091.6,38197319470.9,37596946846.0,39150198268.4,37414901011.6,39571815551.6,37920436789.6,35916409595.2,39437073589.7,35140548413.3,38193547133.2,34944985601.0,37379793362.6,34417422172.8,30374890878.0,32008737736.1,33209352124.8,34376787722.3,36381968801.2,35523334576.0,39294585199.0,9112795415.3,11011733566.2,12830505850.0,38669018772.0
run_time,0.0,6907.270000000012,4863.390000000008,4397.340000000024,2394.9500000000094,2319.850000000042,3327.77000000002,2406.4800000000087,2329.9500000000753,4285.050000000035,3187.2900000000077,3205.9300000000094,4421.430000000051,2995.649999999981,3529.040000000042,3381.080000000026,4808.92000000004,3584.91000000001,2441.450000000009,5963.110000000049,5040.3100000000395,4172.410000000059,4481.770000000035,3707.8500000000395,3691.4500000000417,3573.4600000000446,3566.0500000000416
objective,3216649612.9,40118676861.2,39502283122.6,38209448522.9,37611201056.0,39159298475.4,37420826429.6,39585909013.6,37934345014.6,35925584775.2,39446504263.7,35148995029.3,38200577823.2,34953246389.0,37385606687.6,34429510494.8,30377475297.0,32013739987.1,33214558826.8,34382138461.3,36388467518.2,35528567904.0,39304664931.0,9113211888.3,11012153851.2,12831318238.0,38682767499.0
