,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
PAR,1.26,1.24,1.22,1.2,1.19,1.18,1.16,1.16,1.16,1.15,1.15,1.14,1.13,1.13,1.12,1.12,1.1,1.1,1.1,1.09,1.09,1.08,1.08,1.07,1.07,1.06,1.06
step_size,1.0,0.013000000000000005,0.01800000000000001,0.01800000000000001,0.008,0.010000000000000002,0.010000000000000002,0.004,0.003,0.004,0.003,0.008,0.005,0.004,0.005,0.004,0.01214917480610184,0.003,0.005,0.005,0.002,0.003,0.001,0.009000000000000001,0.006046473455178997,0.004269868396371387,0.0
inconvenient,0.0,191076.86000000007,264689.1745200001,213558.5308586401,112325.21175313089,89878.81788246872,58355.39182117532,56140.4264327153,41556.253720701854,36534.49498511719,28182.41851504465,67347.46865187964,34816.7126567406,32903.88514937304,28902.105574253135,48237.679577702984,30812.510201780668,14914.315469394656,25958.938422653027,26623.900307886735,12944.186199384229,15661.15144140185,10064.070848558598,3657.680362362973,2519.1260288913472,3458.0335101741184,3458.0335101741184
total_demand,194224824.0,194224823.99999997,194224823.99999994,194224824.00000003,194224823.99999997,194224824.0,194224824.0,194224823.99999997,194224823.99999997,194224823.99999997,194224824.00000003,194224824.00000006,194224823.99999997,194224824.00000003,194224824.0,194224823.99999994,194224824.0,194224823.99999997,194224824.00000006,194224823.99999997,194224824.00000006,194224824.00000003,194224823.99999997,194224823.99999994,194224823.99999994,194224824.0,194224824.0
max_demand,5084213.0,5018513.34915776,4928943.861622193,4840972.99354606,4802380.486085621,4754572.21306827,4707239.877135772,4688439.14224224,4674387.8854445005,4655718.3615371585,4641765.168951913,4604760.757410843,4581782.955206774,4563483.295761128,4540711.468503261,4522575.848739754,4467935.16565722,4454544.75949781,4432316.536624736,4410199.232805971,4401383.244539592,4388192.294554324,4383804.102259769,4344507.314599377,4318304.460766103,4299895.335205985,4299895.335205985
cost,3216649612.9,3153791925.47,3083536652.91,3028008894.82,3007815161.74,2989253382.07,2973618596.53,2967650327.94,2963315200.63,2957928142.57,2954076456.18,2946136382.31,2941443295.6,2938539300.14,2935339971.0,2932934326.02,2925461032.38,2923827540.48,2921446012.02,2919476101.92,2918634015.4,2917576077.51,2917255841.46,2915988818.82,2915237914.26,2914936829.87,2914936829.87
run_time,0.0,0.007403135299682617,0.008624792098999023,0.015760183334350586,0.00439906120300293,0.005158185958862305,0.004703044891357422,0.0026710033416748047,0.002229928970336914,0.002157926559448242,0.0020809173583984375,0.0046138763427734375,0.003341197967529297,0.002523183822631836,0.0025670528411865234,0.0028753280639648438,0.005872011184692383,0.0017976760864257812,0.0031251907348632812,0.003351926803588867,0.0013990402221679688,0.0022118091583251953,0.0029020309448242188,0.007302284240722656,0.0031108856201171875,0.0025911331176757812,0.0008251667022705078
objective,3216649612.9,3153983002.33,3083801342.08452,3028222453.3508587,3007927486.951753,2989343260.8878827,2973676951.9218216,2967706468.3664327,2963356756.883721,2957964677.0649853,2954104638.598515,2946203729.7786517,2941478112.312657,2938572204.0251493,2935368873.105574,2932982563.699578,2925491844.890202,2923842454.7954693,2921471970.9584227,2919502725.8203077,2918646959.5861993,2917591738.661442,2917265905.5308485,2915992476.5003624,2915240433.3860292,2914940287.90351,2914940287.90351
