,no_tasks,no_households,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,50,1,piece-wise,56187,51787.0,7.80%,2.62,2.41,8.00%,15596487.4,14419905.0,7.50%,15596487.4,14419818.0,7.50%,0.002
heuristic_fw,5,50,1,piece-wise,56187,35354.94124992504,37.10%,2.62,1.65,37.00%,15596487.4,14434549.839880368,7.40%,15596487.4,14434537.59,7.50%,0.002
