,0,1,2
step_size,1.0,0.49000000000000005,0.0
run_time,0.0,0.0,0.0
max_demand,29291.0,23769.0,29291.0
inconvenient,0.0,65.0,0.0
PAR,9.26,7.51,9.26
total_demand,151898.0,151898.0,151898.0
objective,2613510.4,2126637.0,2126572.0
cost,2613510.4,2126572.0,2126572.0
